Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:38:07,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:38:22,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:38:36,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:38:50,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:39:05,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:39:19,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:39:33,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:39:48,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:40:02,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:40:16,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:40:30,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:40:45,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:40:59,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:41:13,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:41:28,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:41:42,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:41:56,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:42:11,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:42:25,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:42:40,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:42:54,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:43:08,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:43:22,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:43:37,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:43:51,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:44:05,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:44:20,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:44:34,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:44:48,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:45:03,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:45:17,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:45:31,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:45:46,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:46:00,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:46:14,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:46:29,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:46:43,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:46:57,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:47:12,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:47:26,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:47:40,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:47:55,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:48:09,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:48:24,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:48:38,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:48:52,FFF25,95.615,95.62,95.615,95.635,
2024-08-19 05:53:02,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:53:16,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:53:30,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:53:45,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:53:59,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:54:13,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:54:27,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:54:41,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:54:55,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:55:10,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:55:24,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:55:38,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:55:52,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:56:06,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:56:20,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:56:34,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:56:49,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:57:03,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:57:17,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:57:31,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:57:45,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:57:59,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:58:13,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:58:28,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:58:42,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:58:56,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:59:10,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:59:24,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:59:38,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 05:59:53,FFF25,95.615,95.62,95.62,95.635,
2024-08-19 06:07:55,FFF25,95.62,95.625,95.62,95.635,
