Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:38:07,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:38:22,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:38:36,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:38:50,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:39:05,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:39:19,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:39:33,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:39:48,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:40:02,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:40:16,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:40:30,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:40:45,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:40:59,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:41:13,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:41:28,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:41:42,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:41:56,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:42:11,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:42:25,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:42:40,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:42:54,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:43:08,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:43:22,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:43:37,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:43:51,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:44:05,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:44:20,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:44:34,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:44:48,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:45:03,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:45:17,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:45:31,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:45:46,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:46:00,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:46:14,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:46:29,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:46:43,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:46:57,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:47:12,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:47:26,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:47:40,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:47:55,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:48:09,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:48:24,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:48:38,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:48:52,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:53:02,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:53:16,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:53:30,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:53:45,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:53:59,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:54:13,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:54:27,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:54:41,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:54:55,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:55:10,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:55:24,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:55:38,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:55:52,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:56:06,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:56:20,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:56:34,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:56:49,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:57:03,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:57:17,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:57:31,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:57:45,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:57:59,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:58:13,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:58:28,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:58:42,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:58:56,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:59:10,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:59:24,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:59:38,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 05:59:53,FFG25,95.845,95.85,95.845,95.865,
2024-08-19 06:07:55,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:08:09,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:08:23,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:08:38,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:08:52,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:09:06,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:09:21,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:09:35,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:09:49,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:10:03,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:10:18,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:10:32,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:10:46,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:11:01,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:11:15,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:11:29,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:11:43,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:11:58,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:12:12,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:12:26,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:12:40,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:12:54,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:13:08,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:13:23,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:13:37,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:13:51,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:14:06,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:14:20,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:14:34,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:14:48,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:15:02,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:15:16,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:15:31,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:15:45,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:16:00,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:16:14,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:17:02,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:17:16,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:17:30,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:17:45,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:17:59,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:18:13,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:18:28,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:18:42,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:18:56,FFG25,95.845,95.85,95.85,95.865,
2024-08-19 06:19:11,FFG25,95.85,95.855,95.85,95.865,
2024-08-19 06:19:25,FFG25,95.85,95.855,95.85,95.865,
2024-08-19 06:19:40,FFG25,95.85,95.855,95.85,95.865,
2024-08-19 06:19:54,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:20:09,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:20:23,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:20:38,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:20:52,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:21:06,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:21:21,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:21:35,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:21:49,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:22:04,FFG25,95.85,95.86,95.855,95.865,
2024-08-19 06:22:18,FFG25,95.855,95.86,95.855,95.865,
2024-08-19 06:22:33,FFG25,95.855,95.86,95.855,95.865,
2024-08-19 06:22:47,FFG25,95.855,95.86,95.855,95.865,
2024-08-19 06:23:02,FFG25,95.855,95.86,95.855,95.865,
2024-08-19 06:23:16,FFG25,95.855,95.86,95.855,95.865,
2024-08-19 06:23:30,FFG25,95.855,95.86,95.855,95.865,
2024-08-19 06:23:45,FFG25,95.855,95.86,95.855,95.865,
2024-08-19 06:23:59,FFG25,95.855,95.86,95.86,95.865,
2024-08-19 06:24:13,FFG25,95.855,95.86,95.86,95.865,
2024-08-19 06:24:28,FFG25,95.855,95.86,95.86,95.865,
2024-08-19 06:24:42,FFG25,95.855,95.86,95.86,95.865,
2024-08-19 06:24:57,FFG25,95.855,95.86,95.86,95.865,
2024-08-19 06:25:11,FFG25,95.855,95.86,95.86,95.865,
2024-08-19 06:25:25,FFG25,95.855,95.86,95.86,95.865,
2024-08-19 06:25:40,FFG25,95.855,95.865,95.86,95.865,
2024-08-19 06:25:54,FFG25,95.86,95.865,95.86,95.865,
2024-08-19 06:26:09,FFG25,95.86,95.865,95.86,95.865,
