Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:38:07,FFH25,95.94,95.95,95.95,95.95,
2024-08-19 05:38:22,FFH25,95.94,95.95,95.95,95.95,
2024-08-19 05:38:36,FFH25,95.94,95.95,95.95,95.95,
2024-08-19 05:38:50,FFH25,95.94,95.95,95.95,95.95,
2024-08-19 05:39:05,FFH25,95.94,95.95,95.95,95.95,
2024-08-19 05:39:19,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:39:33,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:39:48,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:40:02,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:40:16,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:40:30,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:40:45,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:40:59,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:41:13,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:41:28,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:41:42,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:41:56,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:42:11,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:42:25,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:42:40,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:42:54,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:43:08,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:43:22,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:43:37,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:43:51,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:44:05,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:44:20,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:44:34,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:44:48,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:45:03,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:45:17,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:45:31,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:45:46,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:46:00,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:46:14,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:46:29,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:46:43,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:46:57,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:47:12,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:47:26,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:47:40,FFH25,95.945,95.95,95.95,95.95,
2024-08-19 05:47:55,FFH25,95.94,95.95,95.95,95.95,
2024-08-19 05:48:09,FFH25,95.94,95.95,95.95,95.95,
2024-08-19 05:48:24,FFH25,95.94,95.95,95.95,95.95,
