Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFK25,96.23,96.235,96.245,96.255,
2024-08-19 05:38:07,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:38:22,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:38:36,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:38:50,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:39:05,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:39:19,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:39:33,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:39:48,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:40:02,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:40:16,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:40:30,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:40:45,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:40:59,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:41:13,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:41:28,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:41:42,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:41:56,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:42:11,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:42:25,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:42:40,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:42:54,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:43:08,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:43:22,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:43:37,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:43:51,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:44:05,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:44:20,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:44:34,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:44:48,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:45:03,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:45:17,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:45:31,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:45:46,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:46:00,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:46:14,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:46:29,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:46:43,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:46:57,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:47:12,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:47:26,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:47:40,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:47:55,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:48:09,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:48:24,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:48:38,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:48:52,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:53:02,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:53:16,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:53:30,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:53:45,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:53:59,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:54:13,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:54:27,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:54:41,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:54:55,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:55:10,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:55:24,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:55:38,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:55:52,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:56:06,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:56:20,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:56:34,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:56:49,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:57:03,FFK25,96.23,96.235,96.23,96.255,
2024-08-19 05:57:17,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:57:31,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:57:45,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:57:59,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:58:13,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:58:28,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:58:42,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:58:56,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:59:10,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:59:24,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:59:38,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 05:59:53,FFK25,96.225,96.235,96.23,96.255,
2024-08-19 06:07:55,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:08:09,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:08:24,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:08:38,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:08:52,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:09:06,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:09:21,FFK25,96.235,96.24,96.23,96.255,
2024-08-19 06:09:35,FFK25,96.235,96.24,96.23,96.255,
