Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFM25,96.32,96.33,,,
2024-08-19 05:38:07,FFM25,96.32,96.33,,,
2024-08-19 05:38:22,FFM25,96.32,96.33,,,
2024-08-19 05:38:36,FFM25,96.32,96.33,,,
2024-08-19 05:38:50,FFM25,96.32,96.33,,,
2024-08-19 05:39:05,FFM25,96.32,96.33,,,
2024-08-19 05:39:19,FFM25,96.32,96.33,,,
2024-08-19 05:39:33,FFM25,96.32,96.33,,,
2024-08-19 05:39:48,FFM25,96.32,96.33,,,
2024-08-19 05:40:02,FFM25,96.32,96.33,,,
2024-08-19 05:40:16,FFM25,96.32,96.33,,,
2024-08-19 05:40:30,FFM25,96.32,96.33,,,
2024-08-19 05:40:45,FFM25,96.32,96.33,,,
2024-08-19 05:40:59,FFM25,96.32,96.33,,,
2024-08-19 05:41:13,FFM25,96.32,96.33,,,
2024-08-19 05:41:28,FFM25,96.32,96.33,,,
2024-08-19 05:41:42,FFM25,96.32,96.33,,,
2024-08-19 05:41:56,FFM25,96.32,96.33,,,
2024-08-19 05:42:11,FFM25,96.32,96.33,,,
2024-08-19 05:42:25,FFM25,96.32,96.33,,,
2024-08-19 05:42:40,FFM25,96.32,96.33,,,
2024-08-19 05:42:54,FFM25,96.32,96.33,,,
2024-08-19 05:43:08,FFM25,96.32,96.33,,,
2024-08-19 05:43:22,FFM25,96.32,96.33,,,
2024-08-19 05:43:37,FFM25,96.32,96.33,,,
2024-08-19 05:43:51,FFM25,96.32,96.33,,,
2024-08-19 05:44:05,FFM25,96.32,96.33,,,
2024-08-19 05:44:20,FFM25,96.325,96.335,,,
2024-08-19 05:44:34,FFM25,96.325,96.33,,,
2024-08-19 05:44:48,FFM25,96.325,96.335,,,
2024-08-19 05:45:03,FFM25,96.325,96.33,,,
2024-08-19 05:45:17,FFM25,96.325,96.33,,,
2024-08-19 05:45:31,FFM25,96.325,96.33,,,
2024-08-19 05:45:46,FFM25,96.325,96.33,,,
2024-08-19 05:46:00,FFM25,96.325,96.33,,,
2024-08-19 05:46:14,FFM25,96.325,96.335,,,
2024-08-19 05:46:29,FFM25,96.325,96.33,,,
2024-08-19 05:46:43,FFM25,96.325,96.335,,,
2024-08-19 05:46:57,FFM25,96.325,96.33,,,
2024-08-19 05:47:12,FFM25,96.325,96.335,,,
2024-08-19 05:47:26,FFM25,96.325,96.33,,,
2024-08-19 05:47:40,FFM25,96.325,96.33,,,
2024-08-19 05:47:55,FFM25,96.325,96.33,,,
2024-08-19 05:48:09,FFM25,96.325,96.33,,,
2024-08-19 05:48:24,FFM25,96.325,96.33,,,
2024-08-19 05:48:38,FFM25,96.325,96.33,,,
