Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFN25,96.415,96.425,96.425,96.445,
2024-08-19 05:38:07,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:38:22,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:38:36,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:38:50,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:39:05,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:39:19,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:39:33,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:39:48,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:40:02,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:40:16,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:40:30,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:40:45,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:40:59,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:41:13,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:41:28,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:41:42,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:41:56,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:42:11,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:42:25,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:42:40,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:42:54,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:43:08,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:43:22,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:43:37,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:43:51,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:44:05,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:44:20,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:44:34,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:44:48,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:45:03,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:45:17,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:45:31,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:45:46,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:46:00,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:46:14,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:46:29,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:46:43,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:46:57,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:47:12,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:47:26,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:47:40,FFN25,96.42,96.425,96.42,96.445,
2024-08-19 05:47:55,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:48:09,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:48:24,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:48:38,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:48:52,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:53:02,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:53:16,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:53:30,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:53:45,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:53:59,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:54:13,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:54:27,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:54:41,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:54:55,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:55:10,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:55:24,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:55:38,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:55:52,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:56:06,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:56:20,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:56:34,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:56:49,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:57:03,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:57:17,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:57:31,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:57:45,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:57:59,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:58:13,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:58:28,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:58:42,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:58:56,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:59:10,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:59:24,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:59:38,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 05:59:53,FFN25,96.415,96.425,96.42,96.445,
2024-08-19 06:07:55,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:08:09,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:08:24,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:08:38,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:08:52,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:09:06,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:09:21,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:09:35,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:09:49,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:10:03,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:10:18,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:10:32,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:10:46,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:11:01,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:11:15,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:11:29,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:11:43,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:11:58,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:12:12,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:12:26,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:12:40,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:12:54,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:13:08,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:13:23,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:13:37,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:13:51,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:14:06,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:14:20,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:14:34,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:14:48,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:15:02,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:15:16,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:15:31,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:15:45,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:16:00,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:16:14,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:17:02,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:17:16,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:17:30,FFN25,96.42,96.43,96.42,96.445,
2024-08-19 06:17:45,FFN25,96.425,96.43,96.42,96.445,
2024-08-19 06:17:59,FFN25,96.425,96.43,96.42,96.445,
2024-08-19 06:18:13,FFN25,96.425,96.43,96.42,96.445,
2024-08-19 06:18:28,FFN25,96.425,96.43,96.42,96.445,
2024-08-19 06:18:42,FFN25,96.425,96.43,96.42,96.445,
2024-08-19 06:18:56,FFN25,96.425,96.43,96.42,96.445,
2024-08-19 06:19:11,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:19:25,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:19:40,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:19:54,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:20:09,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:20:23,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:20:38,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:20:52,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:21:06,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:21:21,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:21:35,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:21:49,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:22:04,FFN25,96.425,96.435,96.42,96.445,
2024-08-19 06:22:18,FFN25,96.43,96.435,96.42,96.445,
2024-08-19 06:22:33,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:22:47,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:23:02,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:23:16,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:23:30,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:23:45,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:23:59,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:24:13,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:24:28,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:24:42,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:24:57,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:25:11,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:25:25,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:25:40,FFN25,96.43,96.44,96.42,96.445,
2024-08-19 06:25:54,FFN25,96.435,96.445,96.42,96.445,
2024-08-19 06:26:09,FFN25,96.435,96.445,96.42,96.445,
