Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:38:07,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:38:22,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:38:36,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:38:50,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:39:05,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:39:19,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:39:33,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:39:48,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:40:02,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:40:16,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:40:30,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:40:45,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:40:59,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:41:13,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:41:28,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:41:42,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:41:56,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:42:11,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:42:25,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:42:40,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:42:54,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:43:08,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:43:22,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:43:37,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:43:51,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:44:05,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:44:20,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:44:34,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:44:48,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:45:03,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:45:17,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:45:31,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:45:46,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:46:00,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:46:14,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:46:29,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:46:43,FFQ24,94.67,94.6725,94.6725,94.6725,
2024-08-19 05:46:57,FFQ24,94.67,94.6725,94.6725,94.6725,
