Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:38:07,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:38:22,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:38:36,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:38:50,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:39:05,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:39:19,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:39:33,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:39:48,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:40:02,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:40:16,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:40:30,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:40:45,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:40:59,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:41:13,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:41:28,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:41:42,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:41:56,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:42:11,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:42:25,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:42:40,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:42:54,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:43:08,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:43:22,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:43:37,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:43:51,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:44:05,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:44:20,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:44:34,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:44:48,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:45:03,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:45:17,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:45:31,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:45:46,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:46:00,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:46:14,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:46:29,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:46:43,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:46:57,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:47:12,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:47:26,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:47:40,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:47:55,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:48:09,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:48:24,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:48:38,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:48:52,FFU24,94.8,94.805,94.805,94.805,
2024-08-19 05:53:02,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:53:16,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:53:30,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:53:45,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:53:59,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:54:13,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:54:27,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:54:41,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 05:54:55,FFU24,94.805,94.81,94.805,94.805,
