Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:38:07,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:38:22,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:38:36,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:38:50,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:39:05,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:39:19,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:39:33,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:39:48,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:40:02,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:40:16,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:40:30,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:40:45,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:40:59,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:41:13,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:41:28,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:41:42,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:41:56,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:42:11,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:42:25,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:42:40,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:42:54,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:43:08,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:43:22,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:43:37,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:43:51,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:44:05,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:44:20,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:44:34,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:44:48,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:45:03,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:45:17,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:45:31,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:45:46,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:46:00,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:46:14,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:46:29,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:46:43,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:46:57,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:47:12,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:47:26,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:47:40,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:47:55,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:48:09,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:48:24,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:48:38,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:48:52,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:53:02,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:53:16,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:53:30,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:53:45,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:53:59,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:54:13,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:54:27,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:54:41,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:54:55,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:55:10,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:55:24,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:55:38,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:55:52,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:56:06,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:56:20,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:56:34,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:56:49,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:57:03,FFV24,94.98,94.985,94.985,94.99,
2024-08-19 05:57:17,FFV24,94.985,94.99,94.985,94.99,
2024-08-19 05:57:31,FFV24,94.985,94.99,94.985,94.99,
