Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:38:07,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:38:22,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:38:36,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:38:50,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:39:05,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:39:19,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:39:33,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:39:48,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:40:02,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:40:16,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:40:30,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:40:45,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:40:59,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:41:13,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:41:28,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:41:42,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:41:56,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:42:11,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:42:25,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:42:40,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:42:54,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:43:08,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:43:22,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:43:37,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:43:51,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:44:05,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:44:20,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:44:34,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:44:48,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:45:03,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:45:17,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:45:31,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:45:46,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:46:00,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:46:14,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:46:29,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:46:43,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:46:57,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:47:12,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:47:26,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:47:40,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:47:55,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:48:09,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:48:24,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:48:38,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:48:52,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:53:02,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:53:16,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:53:30,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:53:45,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:53:59,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:54:13,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:54:27,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:54:41,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:54:55,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:55:10,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:55:24,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:55:38,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:55:52,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:56:06,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:56:20,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:56:34,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:56:49,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:57:03,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:57:17,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:57:31,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:57:45,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:57:59,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:58:13,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:58:28,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:58:42,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:58:56,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:59:10,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:59:24,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:59:38,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 05:59:53,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:07:55,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:08:09,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:08:23,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:08:38,FFX24,95.21,95.22,95.215,95.225,
2024-08-19 06:08:52,FFX24,95.21,95.215,95.215,95.225,
2024-08-19 06:09:06,FFX24,95.21,95.215,95.215,95.225,
