Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:38:07,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:38:22,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:38:36,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:38:50,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:39:05,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:39:19,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:39:33,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:39:48,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:40:02,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:40:16,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:40:30,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:40:45,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:40:59,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:41:13,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:41:28,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:41:42,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:41:56,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:42:11,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:42:25,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:42:40,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:42:54,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:43:08,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:43:22,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:43:37,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:43:51,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:44:05,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:44:20,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:44:34,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:44:48,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:45:03,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:45:17,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:45:31,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:45:46,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:46:00,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:46:14,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:46:29,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:46:43,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:46:57,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:47:12,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:47:26,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:47:40,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:47:55,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:48:09,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:48:24,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:48:38,FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 05:48:52,FFZ24,95.415,95.42,95.42,95.435,
