Instrument,IMPLD_BPS
USIRP25F8=R,-186.6
2024-08-19 05:38:07,USIRP25F8=R,-184.8
2024-08-19 05:38:22,USIRP25F8=R,-184.8
2024-08-19 05:38:36,USIRP25F8=R,-184.8
2024-08-19 05:38:50,USIRP25F8=R,-184.8
2024-08-19 05:39:05,USIRP25F8=R,-184.8
2024-08-19 05:39:19,USIRP25F8=R,-185.1
2024-08-19 05:39:33,USIRP25F8=R,-184.8
2024-08-19 05:39:48,USIRP25F8=R,-184.8
2024-08-19 05:40:02,USIRP25F8=R,-184.8
2024-08-19 05:40:16,USIRP25F8=R,-184.8
2024-08-19 05:40:30,USIRP25F8=R,-184.8
2024-08-19 05:40:45,USIRP25F8=R,-184.8
2024-08-19 05:40:59,USIRP25F8=R,-184.8
2024-08-19 05:41:13,USIRP25F8=R,-184.8
2024-08-19 05:41:28,USIRP25F8=R,-184.8
2024-08-19 05:41:42,USIRP25F8=R,-184.8
2024-08-19 05:41:57,USIRP25F8=R,-184.8
2024-08-19 05:42:11,USIRP25F8=R,-184.8
2024-08-19 05:42:25,USIRP25F8=R,-184.8
2024-08-19 05:42:40,USIRP25F8=R,-184.8
2024-08-19 05:42:54,USIRP25F8=R,-185.3
2024-08-19 05:43:08,USIRP25F8=R,-185.3
2024-08-19 05:43:22,USIRP25F8=R,-185.3
2024-08-19 05:43:37,USIRP25F8=R,-185.3
2024-08-19 05:43:51,USIRP25F8=R,-185.3
2024-08-19 05:44:05,USIRP25F8=R,-185.3
2024-08-19 05:44:20,USIRP25F8=R,-185.3
2024-08-19 05:44:34,USIRP25F8=R,-185.3
2024-08-19 05:44:48,USIRP25F8=R,-185.3
2024-08-19 05:45:03,USIRP25F8=R,-185.3
2024-08-19 05:45:17,USIRP25F8=R,-185.3
2024-08-19 05:45:31,USIRP25F8=R,-185.3
2024-08-19 05:45:46,USIRP25F8=R,-185.3
2024-08-19 05:46:00,USIRP25F8=R,-185.3
2024-08-19 05:46:14,USIRP25F8=R,-185.3
2024-08-19 05:46:29,USIRP25F8=R,-185.3
2024-08-19 05:46:43,USIRP25F8=R,-185.3
2024-08-19 05:46:57,USIRP25F8=R,-185.3
2024-08-19 05:47:12,USIRP25F8=R,-185.3
2024-08-19 05:47:26,USIRP25F8=R,-185.3
2024-08-19 05:47:40,USIRP25F8=R,-185.3
2024-08-19 05:47:55,USIRP25F8=R,-185.3
2024-08-19 05:48:09,USIRP25F8=R,-185.3
2024-08-19 05:48:24,USIRP25F8=R,-185.3
2024-08-19 05:48:38,USIRP25F8=R,-185.3
2024-08-19 05:48:52,USIRP25F8=R,-185.3
2024-08-19 05:53:02,USIRP25F8=R,-185.3
2024-08-19 05:53:16,USIRP25F8=R,-185.3
2024-08-19 05:53:30,USIRP25F8=R,-185.3
2024-08-19 05:53:45,USIRP25F8=R,-185.3
2024-08-19 05:53:59,USIRP25F8=R,-185.3
2024-08-19 05:54:13,USIRP25F8=R,-185.3
2024-08-19 05:54:27,USIRP25F8=R,-185.3
2024-08-19 05:54:41,USIRP25F8=R,-185.3
2024-08-19 05:54:55,USIRP25F8=R,-185.3
2024-08-19 05:55:10,USIRP25F8=R,-185.3
2024-08-19 05:55:24,USIRP25F8=R,-185.3
2024-08-19 05:55:38,USIRP25F8=R,-185.3
2024-08-19 05:55:52,USIRP25F8=R,-185.3
2024-08-19 05:56:06,USIRP25F8=R,-185.3
2024-08-19 05:56:20,USIRP25F8=R,-185.3
2024-08-19 05:56:34,USIRP25F8=R,-185.3
2024-08-19 05:56:49,USIRP25F8=R,-185.3
2024-08-19 05:57:03,USIRP25F8=R,-185.3
2024-08-19 05:57:17,USIRP25F8=R,-185.3
2024-08-19 05:57:31,USIRP25F8=R,-185.3
2024-08-19 05:57:45,USIRP25F8=R,-185.3
2024-08-19 05:57:59,USIRP25F8=R,-185.1
2024-08-19 05:58:13,USIRP25F8=R,-185.1
2024-08-19 05:58:28,USIRP25F8=R,-185.1
2024-08-19 05:58:42,USIRP25F8=R,-185.1
2024-08-19 05:58:56,USIRP25F8=R,-185.1
2024-08-19 05:59:10,USIRP25F8=R,-185.1
2024-08-19 05:59:24,USIRP25F8=R,-185.1
2024-08-19 05:59:38,USIRP25F8=R,-185.1
2024-08-19 05:59:53,USIRP25F8=R,-185.1
2024-08-19 06:07:55,USIRP25F8=R,-185.6
2024-08-19 06:08:09,USIRP25F8=R,-185.6
2024-08-19 06:08:24,USIRP25F8=R,-185.8
2024-08-19 06:08:38,USIRP25F8=R,-185.8
2024-08-19 06:08:52,USIRP25F8=R,-185.8
2024-08-19 06:09:06,USIRP25F8=R,-185.8
2024-08-19 06:09:21,USIRP25F8=R,-185.8
2024-08-19 06:09:35,USIRP25F8=R,-185.8
2024-08-19 06:09:49,USIRP25F8=R,-185.8
2024-08-19 06:10:03,USIRP25F8=R,-185.8
2024-08-19 06:10:18,USIRP25F8=R,-185.8
2024-08-19 06:10:32,USIRP25F8=R,-185.8
2024-08-19 06:10:46,USIRP25F8=R,-185.8
2024-08-19 06:11:01,USIRP25F8=R,-185.8
2024-08-19 06:11:15,USIRP25F8=R,-185.8
2024-08-19 06:11:29,USIRP25F8=R,-185.8
2024-08-19 06:11:43,USIRP25F8=R,-185.8
2024-08-19 06:11:58,USIRP25F8=R,-185.8
